2,"BRINIDJA","BANK RAKYAT INDONESIA","ID"
8,"BMRIIDJA","BANK MANDIRI","ID"
9,"BNINIDJA","BANK BNI 46","ID"
11,"BDINIDJA","BANK DANAMON INDONESIA","ID"
13,"BBBAIDJA","BANK PERMATA","ID"
14,"CENAIDJA","BANK CENTRAL ASIA (BCA)","ID"
16,"IBBKIDJA","BANK INTERNATIONAL INDONESIA (BII)","ID"
19,"PINBIDJA","BANK PANIN","ID"
22,"BNIAIDJA","BANK CIMB NIAGA","ID"
23,"BBIJIDJA","BANK UOB BUANA INDONESIA","ID"
28,"NISPIDJA","BANK OCBC NISP","ID"
31,"CITIIDJX","CITIBANK","ID"
32,"CHASIDJX","JP MORGAN CHASE BANK","ID"
33,"BOFAID2X","BANK OF AMERICA","ID"
36,"MCORIDJA","BANK WINDU KENTJANA","ID"
37,"ARTGIDJA","BANK ARTA GRAHA","ID"
40,"BKKBIDJA","BANGKOK BANK LTD","ID"
41,"HSBCIDJA","BANK HSBC","ID"
42,"BOTKIDJX","BANK OF TOKYO MITSUBISHI LTD","ID"
45,"SUNIIDJA","BANK SUMITOMO MITSUI INDONESIA","ID"
46,"DBSBIDJA","BANK DBS INDONESIA","ID"
47,"BPIAIDJA","BANK RESONA PERDANIA","ID"
48,"MHCCIDJA","BANK MIZUHO INDONESIA","ID"
50,"SCBLIDJX","BANK STANDARD CHARTERED","ID"
52,"ABNAIDJA","BANK RBS","ID"
54,"BCIAIDJA","BANK CAPITAL","ID"
57,"BNPAIDJA","BANK BNP PARIBAS","ID"
59,"KOEXIDJA","BANK KEB INDONESIA","ID"
61,"ANZBIDJX","ANZ PANIN BANK","ID"
67,"DEUTIDJA","DEUTSCHE BANK AG","ID"
68,"HVBKIDJA","BANK WOORI INDONESIA","ID"
69,"BKCHIDJA","THE BANK OF CHINA","ID"
76,"BBAIIDJA","BANK BUMI ARTA","ID"
87,"EKONIDJA","BANK EKONOMI","ID"
88,"ANTDIDJD","BANK ANTAR DAERAH","ID"
89,"RABOIDJA","RABO BANK","ID"
93,"INDIIDJA","BANK INDONESIA FINANCE & INVESTMENT (IFI)","ID"
95,"CICTIDJA","BANK MUTIARA","ID"
97,"MAYAIDJA","BANK MAYAPADA INTERNATIONAL","ID"
110,"PDJBIDJA","BPD JAWA BARAT","ID"
111,"BDKIIDJ1","BPD DKI JAKARTA","ID"
112,"PDYKIDJ1","BPD YOGYAKARTA","ID"
113,"PDJGIDJ1","BPD JAWA TENGAH","ID"
114,"PDJTIDJ1","BPD JAWA TIMUR","ID"
115,"PDJMIDJ1","BPD JAMBI","ID"
116,"PDACIDJ1","BPD ACEH","ID"
117,"PDSUIDJ1","BPD SUMATERA UTARA","ID"
118,"PDSBIDJ1","BPD SUMATERA BARAT/BANK NAGARI","ID"
119,"PDRIIDJ1","BPD RIAU","ID"
120,"BSSPIDSP","BPD SUMATERA SELATAN","ID"
121,"PDLPIDJ1","BPD LAMPUNG","ID"
